district,population,placename,type,total19,total20,total21,total22,total23,total24,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
07,95000,Somerton and Bustleton,Violent,148,130,164,147,219,116,138,441,147,-0.7,-6.8,-6.1,-6,155.8,136.8,172.6,154.7,145.3,154.7
08,97000,"Parkwood Manor, Byberry, Morrell Park and Millbrook",Other,2458,2430,2212,2162,2610,2283,2565,6804,2268,-12,4.4,18.6,13,2534,2505.2,2280.4,2228.9,2644.3,2338.1
08,97000,"Parkwood Manor, Byberry, Morrell Park and Millbrook",Property,1569,1455,1837,2905,3951,3063,3462,6197,2065.7,85.1,120.7,19.2,68,1617.5,1500,1893.8,2994.8,3569.1,2129.6
08,97000,"Parkwood Manor, Byberry, Morrell Park and Millbrook",Violent,295,313,353,363,436,316,366,1029,343,23.1,24.1,0.8,7,304.1,322.7,363.9,374.2,377.3,353.6
09,66000,"Center City West, Logan Circle and North Philadelphia",Other,3559,2604,2305,2528,2307,3919,4118,7437,2479,-29,15.7,62.9,66,5392.4,3945.5,3492.4,3830.3,6239.4,3756.1
09,66000,"Center City West, Logan Circle and North Philadelphia",Property,3769,2986,3240,3835,4301,6215,6705,10061,3353.7,1.8,77.9,74.8,100,5710.6,4524.2,4909.1,5810.6,10159.1,5081.4
09,66000,"Center City West, Logan Circle and North Philadelphia",Violent,495,394,430,456,407,663,698,1280,426.7,-7.9,41,53.1,64,750,597,651.5,690.9,1057.6,646.5
12,72000,"Kingsessing, Eastwick and Elmwood",Other,5523,5141,4697,4724,4774,4141,4661,14562,4854,-14.5,-15.6,-1.3,-4,7670.8,7140.3,6523.6,6561.1,6473.6,6741.7
12,72000,"Kingsessing, Eastwick and Elmwood",Property,1969,2110,2562,3047,3569,3211,3587,7719,2573,54.7,82.2,17.7,39,2734.7,2930.6,3558.3,4231.9,4981.9,3573.6
12,72000,"Kingsessing, Eastwick and Elmwood",Violent,892,1104,888,827,868,741,829,2819,939.7,-7.3,-7.1,0.2,-12,1238.9,1533.3,1233.3,1148.6,1151.4,1305.1
14,112000,"Germantown, Mt. Airy and Chestnut Hill",Other,5736,5081,4671,4638,5438,4399,4973,14390,4796.7,-19.1,-13.3,7.2,4,5121.4,4536.6,4170.5,4141.1,4440.2,4282.8
14,112000,"Germantown, Mt. Airy and Chestnut Hill",Property,2186,2291,2347,3029,4240,3593,4004,7667,2555.7,38.6,83.2,32.2,57,1951.8,2045.5,2095.5,2704.5,3575,2281.9
14,112000,"Germantown, Mt. Airy and Chestnut Hill",Violent,715,800,695,758,667,564,634,2253,751,6,-11.3,-16.4,-16,638.4,714.3,620.5,676.8,566.1,670.5
04,NA,NA,Other,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,NA,NA,Property,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04,NA,NA,Violent,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
